idxes,meps_19_mu,meps_19_std,meps_20_mu,meps_20_std,meps_21_mu,meps_21_std
NRC-Layer_w30_sharpness_90,28.12631607055664,0.0,27.183626174926758,0.0,28.135772705078125,0.0
NRC-Layer_w30_coverage_90,0.7669410705566406,0.0,0.7663817405700684,0.0,0.7511167526245117,0.0
NRC-Layer_w50_MACE_Loss,0.018366046249866486,0.0,0.02547823078930378,0.0,0.024715106934309006,0.0
NRC-Layer_w50_AGCE_Loss,0.05063292756676674,0.0,0.06168833374977112,0.0,0.0518653430044651,0.0
NRC-Layer_w50_CheckScore,2.906707286834717,0.0,3.11197566986084,0.0,3.3546948432922363,0.0
NRC-Layer_w50_sharpness_90,32.51423645019531,0.0,33.00272750854492,0.0,34.57943344116211,0.0
NRC-Layer_w50_coverage_90,0.85243821144104,0.0,0.8433048129081726,0.0,0.8359923362731934,0.0
NRC-Layer_w100_MACE_Loss,0.008739713579416275,0.0,0.009686599485576153,0.0,0.012170666828751564,0.0
NRC-Layer_w100_AGCE_Loss,0.04177216812968254,0.0,0.049025990068912506,0.0,0.04103730618953705,0.0
NRC-Layer_w100_CheckScore,2.879307746887207,0.0,3.0446338653564453,0.0,3.3532652854919434,0.0
NRC-Layer_w100_sharpness_90,33.01353073120117,0.0,34.26655960083008,0.0,36.87167739868164,0.0
NRC-Layer_w100_coverage_90,0.8872703909873962,0.0,0.8900284767150879,0.0,0.8800255060195923,0.0
NRC-CQR-RP_w10_MACE_Loss,0.006269786972552538,0.0,0.005087491124868393,0.0,0.010547919198870659,0.0
NRC-CQR-RP_w10_AGCE_Loss,0.048282090574502945,0.0,0.03814934566617012,0.0,0.0541401207447052,0.0
NRC-CQR-RP_w10_CheckScore,2.4497103691101074,0.0,2.4177770614624023,0.0,2.7020459175109863,0.0
NRC-CQR-RP_w10_sharpness_90,24.214242935180664,0.0,26.890277862548828,0.0,24.77923011779785,0.0
NRC-CQR-RP_w10_coverage_90,0.9024699330329895,0.0,0.9054130911827087,0.0,0.9068282842636108,0.0
NRC-CQR-RP_w30_MACE_Loss,0.00826019886881113,0.0,0.005738704930990934,0.0,0.008815763518214226,0.0
NRC-CQR-RP_w30_AGCE_Loss,0.04321881756186485,0.0,0.0413961224257946,0.0,0.04567790776491165,0.0
NRC-CQR-RP_w30_CheckScore,2.449611186981201,0.0,2.4177956581115723,0.0,2.701603412628174,0.0
NRC-CQR-RP_w30_sharpness_90,24.41338348388672,0.0,27.236392974853516,0.0,25.14855194091797,0.0
NRC-CQR-RP_w30_coverage_90,0.9037365317344666,0.0,0.9099714756011963,0.0,0.9132099151611328,0.0
NRC-CQR-RP_w50_MACE_Loss,0.008323528803884983,0.0,0.005820100661367178,0.0,0.008998092263936996,0.0
NRC-CQR-RP_w50_AGCE_Loss,0.059674520045518875,0.0,0.04058443754911423,0.0,0.05686986818909645,0.0
NRC-CQR-RP_w50_CheckScore,2.4490158557891846,0.0,2.4179108142852783,0.0,2.701572895050049,0.0
NRC-CQR-RP_w50_sharpness_90,24.499906539916992,0.0,27.2561092376709,0.0,25.17804718017578,0.0
NRC-CQR-RP_w50_coverage_90,0.9037365317344666,0.0,0.9111111164093018,0.0,0.9151244163513184,0.0
NRC-CQR-RP_w100_MACE_Loss,0.008685420267283916,0.0,0.005738699808716774,0.0,0.008906922303140163,0.0
NRC-CQR-RP_w100_AGCE_Loss,0.040687188506126404,0.0,0.030844183638691902,0.0,0.048680629581213,0.0
NRC-CQR-RP_w100_CheckScore,2.4493038654327393,0.0,2.417905569076538,0.0,2.70155930519104,0.0
NRC-CQR-RP_w100_sharpness_90,24.563785552978516,0.0,27.257335662841797,0.0,25.195701599121094,0.0
NRC-CQR-RP_w100_coverage_90,0.9037365317344666,0.0,0.9111111164093018,0.0,0.9157626032829285,0.0
